唯一識別碼,資料類型,語系,資料名稱,文字描述,聯絡電話,分機,縣市名稱,行政區(鄉鎮區)名稱,街道名稱,資料提供單位機關代碼,資料提供單位,資料更新日期時間,search_count
Attraction_376470000A_000548,Attraction,Zh_tw,彰化中興莊,"眷築夢想　綻放中興莊
　　建於民國39年，坐落八卦山腳下的中興莊眷村，第一代住戶大多是山東青島保安旅高芳先將軍的子弟兵及其眷屬，他們遠從山東青島遷台，來到中興莊落地生根，走過烽火歲月，更在此傳承威武不屈的民族精神。
　　彰化縣政府為了保存這段光輝歷史，致力推動文化資產，自98年開始著手調研中興莊的歷史軌跡，99年成功將中興莊登錄為彰化縣歷史建築，也是彰化目前唯一保留完整的眷村。101年獲得國防部選定為眷村文化保存區，110年修正登錄為聚落建築群，111年10月第1期廣場及環境整備工程完工後，彰化縣文化局以公益換租模式活化，將4棟建築6單元提供青年創業空間，並於112年1月正式開幕營運，結合周遭的景觀及在地產業特色，以嶄新樣貌和在地居民與訪客見面，預計114年完成第2期整區修復工程，未來期許讓眷村歷史持續綿延流長，再現彰化味。",(04)7250057,,彰化縣,彰化市,彰化縣彰化市中山路二段790巷,376470000A,彰化縣政府城市暨觀光發展處,2023/6/6 下午 04:23:54,10900000
Attraction_A15011200H_000158,Attraction,Zh_tw,南寶高爾夫球場,南寶高爾夫球場位於臺南市大內區頭社公廨旁，鄰近走馬瀨農場、曾文水庫、南元農場以及國立臺南藝術大學等景點，這裡的球道大多呈南北走向，以避免球友擊球時碰到正面逆光的情形。球場外圍原始樹林青鬱茂密，球道兩側則種滿桃花心木、樟樹等，景色宜人。,(06)5762546,,臺南市,大內區,頭社里136號,A15011200H,交通部觀光署西拉雅國家風景區管理處,2024/6/26 下午 04:39:31,10100000
Attraction_382000000A_110625,Attraction,Zh_tw,烏來風景區,綻紅櫻花暈染整個青翠山谷，是北部最佳的賞櫻之鄉,(02)26616355,,新北市,烏來區,烏來街45號之1(烏來遊客中心),382000000A,新北市政府觀光旅遊局,2022/12/5 上午 08:10:29,9980000
Attraction_395000000A_000595,Attraction,Zh_tw,南寶高爾夫俱樂部 ,由南寶集團所投資興建的南寶高爾夫俱樂部，位於台南市大內區。球場共有A、B、C區共二十七洞，球道大多呈南北走向，避免球友擊球時碰到正面逆光的情形。球場四周有溪流環繞，與外圍的原始樹林相映，景色宜人；球道地勢起伏，兩側種滿桃花心木、樟樹、台灣櫸木、南洋杉、蒲葵、梢楠、羊蹄甲、等樹林，加上造型各異的水塘、沙坑，是一處適合各個球技等級球友的擊球好去處。,(06)5763829,,臺南市,大內區,頭社里頭社136號,395000000A,臺南市政府,2024/1/9 下午 04:06:59,9930000
Attraction_379000000A_002273,Attraction,Zh_tw,臺北市政府,臺北市政府所在的市政大樓是信義計畫區的地標之一，座落於仁愛路尾端，若登上台北101俯瞰市政府，可以看見整棟建築呈「雙十」型態，而位於市政大樓裡面的台北探索館，有著豐富展示內容及導覽服務，是許多國內外遊客認識臺北的第一站。臺北市政府是臺北市的行政機關，成立於民國34年10月。於56年7月1日正式改制為直轄市，改制後臺北市長原為官派，至民國83年12月25日改為民選市長。自改制以後，隨市政建設急切需求，組織結構變遷，除裁撤、歸併不合時宜的機關(構)外，同時陸續成立許多機關、學校。目前市政府所轄組織，設有民政局、財政局、教育局、產業發展局、工務局、交通局、社會局、勞動局、警察局、衛生局、環境保護局、都市發展局、文化局、消防局、捷運工程局、臺北翡翠水庫管理局、觀光傳播局、地政局、兵役局、體育局、資訊局、法務局及青年局等23局；秘書處、主計處、人事處、政風處及公務人員訓練處等5處；以及研究發展考核委員會、都市計畫委員會、原住民族事務委員會及客家事務委員會等4委員會；另有臺北自來水事業處及臺北大眾捷運股份有限公司、工程總隊及動產質借處等4事業機構及12個區公所。(資料來源:臺北市政府網站),(02)27208889,,臺北市,信義區,,379000000A,臺北市政府,2024/8/28 上午 11:12:51,9550000
Attraction_387000000A_001741,Attraction,Zh_tw,第五市場,文學公園旁的老臺中味,(04)22279299,,臺中市,西區,大明街9號,387000000A,臺中市政府觀光旅遊局,2025/5/7 下午 06:01:09,8980000
Attraction_379000000A_000394,Attraction,Zh_tw,臺北賓館,建築風華走過百年歲月的臺北賓館，一直是臺灣政治的核心。它的前身是日據時期的「臺灣總督官邸」；臺灣光復之後，曾作為省主席官邸；1950年，改稱臺北賓館，是舉行國宴、招待外賓、黨政會議及文化活動的國家重要場所。1998年由內政部指定為國定古蹟。臺北賓館起造於1899年，由日本建築師宮尾麟、野村一郎設計；1911年改建工程經森山松之助設計，成為現今的樣貌；2002年封館進行臺灣光復後最大幅度的整修，至2006年5月竣工；隨著臺灣民主化的進程， 2006年7月4日臺北賓館已首次對一般民眾開放，空間解嚴的思維讓國人可以一窺臺北賓館百年的神秘面貌。臺北賓館的基地東西向長，成矩形狀，建築主體坐北朝南，為磚及石材、鋼筋混泥土構造之兩層樓建築物。受到日本於明治維新後引進的西方歷史樣式建築影響，臺北賓館有馬薩式斜頂、希臘山牆、羅馬柱式和華麗的巴洛克風格雕飾。四面留設寬廣的陽台，與東南亞的歐美殖民城市的官方建築相似。三樓東南隅有涼台，節慶時可觀賞遊行隊伍、眺望街景。歷史沿革臺北賓館在日治時期，除了作為總督宅邸以外，同時也作為行政辦公與迎賓社交之場所。而落成後的第一件大事，就是接待1901年10月來臺的北白川宮能久親王妃富子，此後這裡陸續接待了閑院宮載仁親王、久彌宮邦彥王、秩父宮雍仁親王、高松宮宣仁親王、昌德宮李王垠等皇室貴族，而其中最重要的便是1923年裕仁皇太子（即日後的昭和天皇）訪臺的接待活動。裕仁皇太子泊宿於總督官邸的期間，主要的活動空間在官邸的2樓，百官仕紳的拜謁儀式也都在2樓的大客室舉行，而皇太子來訪的第一天，總督曾安排其登上3樓的旋梯，在涼臺接受遊行民眾的歡呼。臺灣光復後，臺北賓館雖然不再是總督官邸，但仍然是政府會晤、款宴外賓的主要場所，歷任總統曾在臺北賓館1樓接見了無數的貴賓，其中又以1957年日本首相岸信介、1981年新加坡總理李光耀、2005年美國前總統柯林頓、2008年大陸海協會會長陳雲林等人最具代表性。此外，我國政府也在臺北賓館的宴會廳簽訂了許多重要的國際條約或協定，而最重要當屬1952年由外交部長葉公超與日本全權代表河田烈所簽署，關係臺灣主權地位甚鉅的「中日和約」；之後較為著名的，則是2009年5月14日由馬英九總統簽署的「公民及政治權利國際公約」及「經濟社會文化權利國際公約」兩項國際公約，象徵著我國在融入國際人權體系及拓展國際人權合作方面邁進了重要的一步。回顧這段臺北賓館走過的歲月，我們不難發現，臺北賓館的價值不單單只是因為其百年的歷史，它是一座巧妙結合東西方文化的建築，更見證了臺灣這一世紀來的風華變遷，無論就何種角度觀察，這裡的一磚一瓦、一草一木，都值得我們大家共同愛護及保存。,(02)23482999,,臺北市,中正區,,379000000A,臺北市政府,2024/8/30 下午 05:14:50,8510000
Attraction_379000000A_003163,Attraction,Zh_tw,臺鐵臺北車站,臺北車站（臺灣高鐵、臺北捷運稱為臺北車站）位於臺灣臺北市中正區，為臺灣鐵路管理局、臺灣高速鐵路、及臺北捷運三鐵共構的地下化鐵路車站，也是臺北捷運板南線、淡水信義線之交會車站，不僅是北臺灣首要的交通樞紐，也是臺灣建築規模與運量最大的鐵路車站，每日轉乘的旅客約50萬人次以上，總使用人次居於全球第25名。臺北車站於1891年7月5日設站，歷經多次遷移與改建後，現今站體為1989年9月2日啟用，臺鐵局本部也設於此地，隨著捷運、高鐵進駐之後，形成幅員廣闊的地下街區。車站周邊有商辦、補習班聚集的站前商圈，若再連結臺北轉運站、捷運北門站、機場捷運臺北站、華山特區等「臺北車站特定區」關聯設施，面積可達46.31公頃。另外臺北車站常被稱為「臺北火車站」，臺語則稱為「臺北火車頭」或「臺北車頭」，年輕族群則常簡稱為「北車」。,(02)21910096,,臺北市,中正區,,379000000A,臺北市政府,2024/9/10 下午 09:41:02,7860000
Attraction_376540000A_000360,Attraction,Zh_tw,臺東航空站,下次來到臺東航空站，多留些時間在這裡吧！曾獲選為國內最美航空站的臺東航空站，擁有有別於其它國內機場的設施以及展示，多元的服務和規劃讓人感受到機場同仁的貼心和熱情，讓機場不只是載著乘客往返各地的集散地，而是民眾爭相在此拍下留念照片的觀光勝地。,(089)361111,,臺東縣,臺東市,民航路1100號,376540000A,臺東縣政府交通及觀光發展處,2025/3/11 上午 10:18:00,7580000
Attraction_376530000A_000012,Attraction,Zh_tw,屏東西市場 ,"屏東西市場 華麗變身！攤商進駐搶先試賣！
屏東西市場是老屏東人的回憶，現在以全新面貌強勢回歸，攤商陸續進駐，幫大家搶先開箱！
這是屏東首座有空調的五星級綠建築市場，逛街買菜可以吹冷氣，攤位涵蓋在地生鮮、蔬果、熟食、生活百貨等日常所需，更有滿滿人情味，來西市場一次購足！
屏東西市場6/25起將試營運，7/16正式開幕，歡迎大家來逗熱鬧??",(08)7320625,,屏東縣,屏東市,和平路320號,376530000A,屏東縣政府,2024/10/15 上午 06:37:38,7240000
Attraction_387000000A_000400,Attraction,Zh_tw,一中街夜市＿一中商圈,位於中友百貨附近，與三民商圈連成一氣，附近有臺中科技大學、臺中一中、台灣體育運動大學等學校，學生人口眾多，小吃攤、飲食店林立，各種新潮流行資訊在這隨處可見、隨手可得。每到假日，人潮眾多，十分熱鬧！育才街上多是小吃攤，而服飾店多在小巷子中。各式新潮前衛的玩意都會在此先出現，若你是流行的追求者，一中夜市絕對不能錯過。,(04)22289111,,臺中市,北區,一中街,387000000A,臺中市政府觀光旅遊局,2025/5/7 下午 02:34:39,6520000
Attraction_376540000A_000300,Attraction,Zh_tw,加路蘭遊憩區,走在台11線157公里附近，加路蘭遊憩區就在眼前，這裡離小野柳風景區不遠，原為空軍建設志航基地機場時的廢棄土置場，經東海岸國家風景區管理處廢多次規劃整理後，以生態工法開發，目前已成為相當熱門的遊憩區，加上每年裝置藝術使得加路蘭遊憩區成為自然與藝術氣息兼備的海岸。,(089)281530,,臺東縣,臺東市,台11線157公里處,376540000A,臺東縣政府交通及觀光發展處,2025/3/14 上午 11:12:30,6430000
Attraction_376540000A_000468,Attraction,Zh_tw,臺東車站,要來臺東，坐火車是很棒的選擇，不論從南迴或是東部幹線過來，沿途的山海風景相當迷人，臺東車站經歷了多年的變更，從原本的卑南車站直到今日的臺東車站，都一直誠摯歡迎著前來遊玩的旅客、迎接著離開故鄉打拚的遊子們。,(089)229687,,臺東縣,臺東市,岩灣路101巷598號,376540000A,臺東縣政府交通及觀光發展處,2024/7/12 下午 05:31:09,6260000
Attraction_395000000A_000559,Attraction,Zh_tw,新化老街,新化老街從日治時期就是一個台南山區入口的重要政經中心，現金保留許多仿巴洛克式的老洋樓，曾獲全國歷史建築百景票選的第2名,(06)5905009,,臺南市,新化區,中正路336~441號,395000000A,臺南市政府,2024/1/9 下午 04:06:59,6210000
Attraction_A15011200H_000023,Attraction,Zh_tw,新化老街,走上新化老街，這條帶著濃厚巴洛克風格的特色老街，氣派古典的洋樓林立，讓人重溫新化的舊日風華。1921年在新化西邊街上出現了首棟的仿巴洛克樓房，即是今日中正路432號的林先生布行，此樓房集合了工藝技術及藝術概念，成了街上最搶眼的風景。之後，鄰里也隨之仿建，直到1937年，日本政府將整條街以造街名義改建成統一風格，至今新化老街依舊保存著古老建築的工藝之美。新化舊名「大目降」，在大目降時代，此街的生意往來活絡，可說是當地最為熱鬧的地方。光臨新化老街，除了欣賞老街建築的考究精緻外，更該走一趟大目降故事館，從人文角度更深入認識新化，裡頭還有許多旅遊資訊可供旅人參考。據說認識老街最直接的方式就是「吃」。漫步新化老街可別錯過街邊道地的古早味美食，樣樣都是在地人小時候的記憶。老建築、舊時光、好滋味、紀念館，...,(06)5905009,,臺南市,新化區,中正路336-441號,A15011200H,交通部觀光署西拉雅國家風景區管理處,2024/6/26 下午 04:38:46,6210000
Attraction_379000000A_001592,Attraction,Zh_tw,國史館,國史館位於總統府後方長沙街上，建築為融合西洋古典與現代風格的市定古蹟，早期為日治時期臺灣總督府交通局遞信部。國史館除定時導覽及團體預約導覽外，同時配合舉辦相關推廣教育事項，包括系列演講、文物專題演講等；另提供館藏數位化檔案，以供各界檢索應用。,(02)23161000,,臺北市,中正區,,379000000A,臺北市政府,2024/11/4 下午 05:30:07,5950000
Attraction_379000000A_000660,Attraction,Zh_tw,北投公園,"「北投」總是給人說不完的人文、傳說及故事，下了新北投捷運站，跟著裊裊的溫泉煙霧前行，前方滿是綠意的溫泉鄉美景，就是北投公園。北投公園由北投1、2、4、54、55號等都市計畫公園所組成，面積達6萬1,129平方公尺。首先映入眼簾的，是98年度完工的入口跳泉，每日固定時間隨著音樂，有著燈光及水泉飛舞，為北投這個具有豐富文化的老臺北地區，重新注入一股新生的活力，沿著光明路側，途經白千層及魯花樹等珍稀老樹，為即將滿百歲的北投公園見證他豐富的歷史，旅途中，也會經過由臺北市立圖書館首次建築的綠色圖書館，強調節能省碳，也為北投公園帶來書香氣息，門口的的噴水池更是電影取景之首選，沿著北投溪前進，世界上唯一以臺灣地名命名的「北投石」，即出產於此，雖然現在已不復見。越過小徑拾級而上，來到中山路側，除了北投露天溫泉浴池外，旁邊還有于右任先生提名之「梅庭」歷史建物，目前已由臺北市政府觀光傳播局規劃為梅庭遊客中心，以提供遊客最貼心的服務，還有聞名的溫泉博物館，日洋合一的木造窗櫺及紅磚建築體，似乎還瀰漫著濃濃硫磺的特有香味，感受日據時代建築之美感，周邊潺潺溪流及綠蔭搖曳的景緻，置身其中，像是回到舊時的悠悠時光裡。北投公園有說不完的老故事以及各式各樣動、植物群聚，周邊還有地熱谷等著名景點，不妨趁著假日，安排一趟洗滌身心的知性之旅，相信您一定滿載而歸。公園位置：北投公園一：臺北市中山路2號隔壁北投公園二：臺北市中山路4-1號北投公園三：臺北市中山路5-7號北投公園四：臺北市光明路227號對面北投公園五：臺北市光明路283號對面管理單位：陽明山公園管理所　聯絡電話：2883-2130",(02)28832130,,臺北市,北投區,,379000000A,臺北市政府,2024/11/4 下午 05:32:24,5820000
Attraction_379000000A_000400,Attraction,Zh_tw,圓山大飯店,圓山大飯店創立於民國41年（西元1952年），十四層宮殿式大樓，巍峨高聳於圓山之腰，前臨基隆河、後倚陽明山、東望松山、西眺淡水。飯店紅柱金瓦氣勢宏偉的外觀，襯托富麗堂皇的古典氣氛，傳達了中國的藝術之美，是台北市的代表地標之ㄧ，聞名世界。是中外人士觀光住宿或商務會議的最佳選擇。圓山的美，在於中國式的雄偉建築和富麗堂皇的古典氣派，圓山的神秘，在於傳奇性的歷史色彩和祕道傳說，圓山的寧靜清幽，在於它的遠離塵囂和鄰近閒情雅緻的風景線。百年金龍原本只是設置於台灣神社前的銅龍，在圓山飯店增建廳舍時特別保留原貌，完美呈現於金龍餐廳中，並在七十六年整修時，鍍上24K金，特別的是這條蟠龍只有三爪，和中國傳統的四爪或五爪龍不同。梅花藻井圓山大飯店大廳中央天花板有一口梅花造型的藻井，梅花中央五條金龍環繞一顆龍珠，意味「五福臨門」：藻井內周圍雖有23條金龍、16隻鳳凰，取其「3」諧音「升」意指步步高升，「16」伴隨大梅花「發」，則有一路發之意，梅花藻井象徵龍鳳呈祥，意義深遠。飛簷斗拱屋頂的飛簷與斗拱，道出中國的古老文明。垂脊上方一排蹲獸，盤據在挑出的飛簷之上，在正脊、垂脊間安置的鴟尾，是一種瓦製的獸型飾物；而屋頂下方，華麗但精緻有力的斗拱結構，這是中國建築最令人稱奇的堂奧。大廳落地玻璃門圓山大飯店正門的大型落地玻璃窗，典雅端正，但仔細觀察門上所繪紋路，就會發現其中暗藏六個古字「中華民國萬歲」，回溯重建圓山飯店時的時空背景，可以看出時空背景的轉換，及設計師創作時的巧思。石敢當牌樓前石階入口所豎立的大石塊石碑上，刻有于右任先生親筆所題的草書，龍飛鳳舞，筆力遒勁的四個大字『劍潭勝跡』，經過多方查證，這四個字表達出整個圓山就是聖地的意思，也因為如此，維繫了圓山百年人氣不墜的崇高地位。,(02)28868888,,臺北市,中山區,,379000000A,臺北市政府,2024/12/22 上午 05:01:41,5330000
Attraction_379000000A_003155,Attraction,Zh_tw,臺北魚市,臺北魚市位於臺北濱江果菜市場後方，店內展售多項通過國際認證及國內產銷履歷之水產品，除了有實體門市，也有官方網路購物平台。賣場明亮潔淨，佈滿來自全國各地最新鮮的冷凍魚貨。除配合中央及市政府衛生局不定期抽驗作業外，每月亦針對展售之各項水產品加強提送SGS公證單位檢驗，讓民眾買的安心，吃的放心！每逢週六、日上午時段(上午7點開始至完售)，定期於臺北魚市門市外舉辦「假日魚市」活動，在中庭提供來自萬大批發市場的新鮮現撈魚貨，有深受民眾喜愛的臺灣鯛、虱目魚、午仔、金目鱸，或是蝦子、螃蟹、文蛤等琳瑯滿目。現場也提供殺魚處理及包裝的服務，推薦給偏愛「現流」漁貨的消費者。(資料來源：臺北魚市 官方網站),0800021521,,臺北市,中山區,,379000000A,臺北市政府,2024/11/29 下午 02:22:14,5080000
Attraction_376480000A_000477,Attraction,Zh_tw,南投縣文化園區,南投縣文化園區的主體建築是日治時期的武德殿(建立於西元1937年)，融合中國北方與東洋風的仿唐式建築物。當時為警察柔、劍道練習場，國民政府來台後沿用為縣警察局、縣環保局、省山地農牧局等場所。現園區內有縣史館、南投陶展示館、縣史圖書文獻室、藝術家資料館四大主題。其中縣史館以南投縣歷史研究為主要範圍，如文物典藏、老照片、先民生活器物、原住民文化等。,(049)2201593,,南投縣,南投市,彰南路二段65號,376480000A,南投縣政府觀光處,2023/6/30 下午 05:30:00,4770000
Attraction_376430000A_000011,Attraction,Zh_tw,桃園火車站前商圈,從銅板小吃到品牌名店，琳瑯滿目的美食就要躁動你的味蕾，接著以統領百貨為中心瘋狂採買，用新台幣把時尚潮流新玩意通通下架！,(03)3322101,,桃園市,桃園區,桃園火車站前中正路延伸至中山路景福宮段的熱鬧商圈,376430000A,桃園市政府觀光旅遊局,2024/6/19 下午 04:27:52,4560000
Attraction_376600000A_000041,Attraction,Zh_tw,嘉義火車站,&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;史蹟珍視&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;．火車站建築式樣屬折衷建築，為鋼筋混凝土結構，古典風格的對稱方式，展現簡化的山牆及幾何圖案裝飾，與水平簡潔的現代感。&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;．嘉義火車站為嘉義市的門戶，與嘉義市的發展有高度的關聯。自縱貫鐵路通車後，因具地區交通樞紐，而成為城市發展的重心，車站建築成為代表地方的主要公共建築，具歷史意義。&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;．中山路起於火車站直達嘉義公園，東西向，被稱為【大通】。鄰近地區都以嘉義火車站為出入門戶，為市區之地理中心。日本統治台灣五十年，為方便治理並開發豐富的天然資源而條築台灣縱貫鐵路，嘉義火車站帶動嘉義市由清領時期的十字街向面蓬勃發展。縱貫鐵路將嘉義市一分為二，前站商業蓬勃發展，商業區大多設於本區東南側，後車站廣大之西北部只有零的發展。&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;．月台遮棚，以跟鐵軌相同的工字形樑架加工彎製，頗為特殊。曾經是集客運、貨運、糖運、材運於一身的車站，功能多元，地位重要。&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;&lt;br&gt;&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;．歷史小百科&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;．明治 29年（1896）以日本瓦斜屋頂、雨淋板外墻之風格，創建木造單層車站．昭和8年（1933）改建為現存之站舍。&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;．嘉義火車站係縱貫鐵路沿線大站，同時也是阿里山森林鐵路起點，運務繁忙。&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;．車站基地廣闊，對未來地下化更新計畫，仍可在保存原有部份的原則下施工。大廳及候車　室寬敞，足以容納日以增加的旅客購票候車。&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;．它是 1947 年二二八事件槍決台籍精英的第一現場。&lt;/span&gt;&lt;/p&gt;,(05)2228904,,嘉義市,西區,中山路528號,376600000A,嘉義市政府,2021/7/20 下午 03:25:02,4550000
